date,order id,country,order city,order state,item,quantity,product sales,total cost,profit,return on sales
01-01-2019,702-5889472-3075408,Canada,Maple,ON,LUX-NEO320B,1,69.85,45.23,24.62,0.352469578
01-01-2019,701-7218821-3163451,Canada,Toronto,ON,LUX-NEO320B,1,69.85,65.6,4.25,0.060844667
01-01-2019,701-7218821-3163451,Canada,Toronto,ON,LUX-NEO320B,1,69.85,34.75,35.1,0.502505369
01-01-2019,702-6870704-8572226,Canada,Brampton,ON,LUX-NEO110B,1,33.95,27.09,6.86,0.202061856
01-01-2019,701-4182545-1251421,Canada,Richmond Hill,ON,LUX-NEO320B,1,69.85,45.23,24.62,0.352469578
01-01-2019,702-4449880-3123447,Canada,Montreal,QC,LUX-NEO320B,1,69.85,45.23,24.62,0.352469578
01-01-2019,702-0166729-9569868,Canada,London,ON,LUX-NEO185B,1,49.95,46.41,3.54,0.070870871
01-01-2019,702-5598472-3165837,Canada,Trois-Rivieres,QC,LUX-NEO185B,1,49.95,47.25,2.7,0.054054054
01-01-2019,701-6090098-5251422,Canada,Welland,ON,3MM-R1547,1,9.7,18.64,-8.94,-0.921649485
02-01-2019,701-8925365-2293043,Canada,London,ON,3MM-R1547,1,9.7,18.64,-8.94,-0.921649485
02-01-2019,702-2092365-9305056,Canada,Ottawa,ON,3MM-R1547,2,19.4,37.28,-17.88,-0.921649485
02-01-2019,702-3434522-0117829,Canada,Laval,QC,LUX-NEO320W,1,69.85,45.23,24.62,0.352469578
02-01-2019,701-8146860-3034665,Canada,Calgary,AB,LUX-NEO110B,1,33.95,26.57,7.38,0.217378498
02-01-2019,702-8139684-9298667,Canada,Calgary,AB,LUX-NEO320W,1,69.85,44.71,25.14,0.359914102
02-01-2019,701-6789512-3702622,Canada,Rimouski,QC,LUX-NEO185B,1,49.95,38.87,11.08,0.221821822
02-01-2019,702-4436951-6832243,Canada,Petrolia,ON,LUX-NEO185B,1,49.95,44.84,5.11,0.102302302
02-01-2019,701-1461541-7710636,Canada,Halifax,NS,LUX-NEO110B,1,33.95,26.57,7.38,0.217378498
02-01-2019,702-0834484-5281851,Canada,OTTAWA,ON,LUX-NEO120B,1,47.01,32.71,14.3,0.304190598
02-01-2019,701-1241022-5569045,Canada,CHARLOTTETOWN,PE,LUX-NEO120B,1,47.01,32.71,14.3,0.304190598
02-01-2019,701-1157052-6060233,Canada,kitchener,ON,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
02-01-2019,702-2814863-6738600,Canada,North Vancouver,BC,3MM-1624W(50),1,16,10.65,5.35,0.334375
02-01-2019,702-6765115-7191401,Canada,Corbyville,ON,LUX-NEO110B,1,33.95,26.57,7.38,0.217378498
02-01-2019,702-8097540-5087443,Canada,Waterford,ON,OMR-BP742N,1,67.9,52.98,14.92,0.219734904
02-01-2019,701-3826782-7408219,Canada,Montreal,QC,OMR-BP742N,1,67.9,45.45,22.45,0.330633284
02-01-2019,701-6638868-5249867,Canada,Toronto,ON,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
02-01-2019,701-0941923-0329826,Canada,Port Colborne,ON,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,702-2670718-0557022,Canada,Toronto,ON,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,702-8986377-6373845,Canada,NORTH GOWER,ON,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
02-01-2019,701-1917902-4954640,Canada,Bancroft,ON,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
02-01-2019,702-8367279-4624204,Canada,Blainville,QC,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,701-4180443-0367424,Canada,Toronto,ON,LUX-NEO320B,1,69.85,44.71,25.14,0.359914102
02-01-2019,702-6501022-4373005,Canada,ST WALBURG,SK,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,701-0800166-4041826,Canada,Edson,AB,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
02-01-2019,701-8422773-4766602,Canada,Mississauga,ON,OMR-BP742N,1,67.9,45.45,22.45,0.330633284
02-01-2019,702-5845860-5294613,Canada,Quebec,QC,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,701-7198958-5357856,Canada,Surrey,BC,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,702-1213393-4007451,Canada,Westphal,NS,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,702-8145330-1177025,Canada,Toronto,ON,PRK-01-08,2,27.4,19.66,7.74,0.282481752
02-01-2019,702-8043583-4242622,Canada,Toronto,ON,MOL-295300,5,160,104.37,55.63,0.3476875
02-01-2019,702-5021909-8707462,Canada,Nepean,ON,LUX-NEO185B,2,99.9,76.69,23.21,0.232332332
02-01-2019,701-6675484-8453866,Canada,Markham,ON,OMR-BP742N,1,67.9,45.45,22.45,0.330633284
02-01-2019,701-1347470-3792213,Canada,Thornhill,ON,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,701-3512058-5557057,Canada,Sault Ste. Marie,ON,LUX-NEO185B,2,99.9,76.69,23.21,0.232332332
02-01-2019,702-6486730-5513058,Canada,Laval,QC,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,702-1206888-3305004,Canada,Toronto,ON,OMR-BP742N,1,67.9,45.45,22.45,0.330633284
02-01-2019,702-2164244-2180217,Canada,Coquitlam,BC,LUX-NEO110B,1,33.95,27.09,6.86,0.202061856
02-01-2019,701-5045400-6862626,Canada,guelph,ON,3MM-1624W,1,24.98,17.75,7.23,0.289431545
02-01-2019,702-2029070-5552212,Canada,Lindsay,ON,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,701-3568974-2708218,Canada,Candiac,QC,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,702-4058889-1788246,Canada,New Westminster,BC,LUX-NEO320B,1,69.85,45.23,24.62,0.352469578
02-01-2019,701-6604466-7003435,Canada,North York,ON,LUX-NEO110B,1,33.95,27.09,6.86,0.202061856
02-01-2019,701-7486669-9724207,Canada,Edmonton AB,AB,LUX-NEO110B,1,33.95,26.57,7.38,0.217378498
02-01-2019,701-6186361-6237056,Canada,Toronto,ON,LUX-NEO110B,1,33.95,27.09,6.86,0.202061856
02-01-2019,702-4032919-5279443,Canada,Pickering,ON,LUX-NEO185B,1,49.95,38.87,11.08,0.221821822
02-01-2019,702-4804325-7563427,Canada,EDMONTON,AB,LUX-NEO185B,1,49.95,38.35,11.6,0.232232232
02-01-2019,701-1926286-3060229,Canada,Beausejour,MB,3MM-R1547,1,9.7,18.37,-8.67,-0.893814433
02-01-2019,702-9224106-5245039,Canada,Markham,ON,3MM-1527-1-12,1,17.5,13.47,4.03,0.230285714
02-01-2019,701-1797847-7693849,Canada,Winnipeg,MB,LUX-NEO320W,1,69.85,44.71,25.14,0.359914102
02-01-2019,702-0599194-2295405,Canada,BRAMPTON,ON,LUX-NEO110B,1,33.95,26.57,7.38,0.217378498
02-01-2019,702-5937182-4687425,Canada,Markham,ON,PRK-03-08,1,13.35,9.83,3.52,0.263670412
02-01-2019,701-6212684-1187425,Canada,Vaughan,ON,PRK-01-08,1,13.7,9.83,3.87,0.282481752
02-01-2019,702-4958782-6174615,Canada,Winnipeg,MB,LUX-NEO110B,1,33.95,31.66,2.29,0.067452135
02-01-2019,702-4958782-6174615,Canada,Winnipeg,MB,LUX-NEO110B,1,33.95,21.48,12.47,0.36730486
02-01-2019,701-1711910-9936257,Canada,Temagami,ON,MOP-3047_JPA-IP6-BLU,1,55,42.58,12.42,0.225818182
02-01-2019,701-9991722-3903413,Canada,L'Assomption,QC,LUX-NEO110B,1,33.95,27.09,6.86,0.202061856
02-01-2019,701-5148660-5572234,Canada,New Westminster,BC,LUX-NEO110B,1,33.95,26.57,7.38,0.217378498
02-01-2019,702-5172762-8857845,Canada,Surrey,BC,LUX-NEO110B,1,33.95,26.57,7.38,0.217378498
